MEC_CO_ENTIDADE,MEC_CO_UF,MEC_CO_MUNICIPIO,MEC_NO_ENTIDADE,MEC_NU_ANO_CENSO,MEC_TP_SITUACAO_FUNCIONAMENTO,MEC_TP_DEPENDENCIA,MEC_TP_LOCALIZACAO,MEC_TP_LOCALIZACAO_DIFERENCIADA,MEC_TP_CATEGORIA_ESCOLA_PRIVADA,MEC_DT_ANO_LETIVO_INICIO,MEC_DT_ANO_LETIVO_TERMINO,MEC_IN_REGULAR,MEC_IN_EJA,MEC_IN_PROFISSIONALIZANTE,MEC_IN_ESPECIAL_EXCLUSIVA,MEC_IN_COMUM_CRECHE,MEC_IN_COMUM_PRE,MEC_IN_COMUM_FUND_AI,MEC_IN_COMUM_FUND_AF,MEC_IN_COMUM_MEDIO_MEDIO,MEC_IN_COMUM_MEDIO_INTEGRADO,MEC_IN_COMUM_MEDIO_NORMAL
52079376,52,5201108,CENTRO MUNICIPAL DE EDUCACAO INFANTIL CIBELE TEODORO TELLES,2018,1,3,1,0,,10/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52079392,52,5218805,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ELVIRA CESAR NASCIMENTO,2018,1,3,1,0,,15/01/2018,18/12/2018,1,0,0,0,1,1,0,0,0,0,0
52079406,52,5218805,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ANA PIMENTA,2018,1,3,1,0,,15/01/2018,18/12/2018,1,0,0,0,1,0,0,0,0,0,0
52012450,52,5200605,CENTRO MUNICIPAL DE EDUCACAO INFANTIL CASA DA VOVO,2018,2,3,1,,,,,,,,,,,,,,,
52080285,52,5208707,CENTRO DE EDUCACAO INFANTIL ANALIA FRANCO,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52080293,52,5208707,CRECHE E EDUCANDARIO ESPIRITA CASA DO CAMINHO,2018,1,4,1,0,4,17/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52080315,52,5208707,CENTRO DE EDUCACAO INFANTIL NSA SENHORA DE NAZARE,2018,1,4,1,0,4,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52080323,52,5208707,CRECHE ESPIRITA LUZ DO CAMINHO,2018,1,4,1,0,4,08/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52080340,52,5208707,ESC MUL ELI BRASILIENSE,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,0,1,1,1,0,0,0
52080390,52,5208707,CENTRO DE EDUCACAO DE JOVENS E ADULTOS ARCO- IRIS,2018,1,2,1,0,,02/01/2018,31/12/2018,1,1,0,0,0,0,0,1,1,0,0
52080463,52,5208707,ESCOLA SEMENTINHA DO SABER,2018,1,4,1,0,1,22/01/2018,14/12/2018,1,0,0,0,0,1,1,0,0,0,0
52080510,52,5208707,ESCOLA SOL NASCENTE,2018,1,4,1,0,1,22/01/2018,14/12/2018,1,0,0,0,1,1,1,0,0,0,0
52080528,52,5208707,ESCOLA BRINCARTE,2018,1,4,1,0,1,22/01/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52080552,52,5219308,OSDJ CENTRO DE EDUCACAO INFANTIL SANTO ANTONIO DE PADUA,2018,1,4,1,0,4,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52080609,52,5204409,COLEGIO GIRASSOL ASTER,2018,1,4,1,0,1,30/01/2018,14/12/2018,1,0,0,0,1,1,1,1,0,0,0
52080668,52,5208707,COLEGIO EXECUTIVO,2018,1,4,1,0,1,30/01/2018,20/12/2018,1,0,0,0,0,0,0,1,1,0,0
52080692,52,5208707,CENTRO DE EDUCACAO INFANTIL IRMA SCHEILLA,2018,1,4,1,0,4,22/01/2018,18/12/2018,1,0,0,0,1,1,0,0,0,0,0
52080714,52,5208707,CEI WEMERSON RODRIGUES BERNARDES -ANTIGA CRECHE VILA RICA,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52093840,52,5219308,ESCOLA ESCADINHA DO SABER,2018,1,4,1,0,1,22/01/2018,21/12/2018,1,0,0,0,1,1,1,0,0,0,0
52093867,52,5206404,ESCOLA MUNICIPAL HORIZONTE NOVO,2018,1,3,1,0,,22/01/2018,14/12/2018,1,0,0,0,0,1,1,0,0,0,0
52093913,52,5215603,ESCOLA MUNICIPAL VINICIUS DE MORAIS,2018,1,3,2,0,,22/01/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52093921,52,5215603,ESCOLA MUNICIPAL VICENTE AMARO DOS SANTOS,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52093948,52,5219753,CMEI MARIA HONORIA RIBEIRO,2018,1,3,1,0,,22/02/2018,21/12/2018,1,0,0,0,0,1,0,0,0,0,0
52093956,52,5217609,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SONHO ENCANTADO,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52093964,52,5208707,ESC MUL BALNEARIO MEIA PONTE,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,0,1,1,1,0,0,0
52093972,52,5209705,CENTRO MUNICIPAL DE EDUCACAO INFANTIL RITA ALVES PEREIRA,2018,1,3,1,0,,22/01/2018,14/12/2018,1,0,0,0,1,1,0,0,0,0,0
52094006,52,5208905,ESCOLA PLURICULTURAL ODE KAYODE,2018,1,4,1,0,4,22/01/2018,17/12/2018,1,0,0,0,0,1,1,0,0,0,0
52094014,52,5208707,COLEGIO GENIOS,2018,1,4,1,0,1,22/01/2018,10/12/2018,1,0,0,0,1,1,1,1,1,0,0
52094022,52,5211909,CENTRO EDUCACIONAL TALENTO LTDA-ME,2018,1,4,1,0,1,08/01/2018,21/12/2018,1,0,0,0,1,1,1,1,1,0,0
52094049,52,5203104,COLEGIO ESTADUAL OZIEL ALVES PEREIRA,2018,1,2,2,1,,02/01/2018,31/12/2018,1,0,0,0,0,0,0,1,1,0,0
52094057,52,5221858,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PRO-SABER,2018,1,3,1,0,,05/02/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52094065,52,5208707,CENTRO DE EDUCACAO INFANTIL SERAFIM RODRIGUES DE MORAES FILHO,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52086453,52,5208707,ESCOLA SAN MARTIM,2018,2,4,1,,,,,,,,,,,,,,,
52095185,52,5201405,ASSOCIACAO DE ARTES MANUAIS OPERARIOS DE CRISTO - AMOC,2018,2,4,1,,,,,,,,,,,,,,,
52094685,52,5212105,ESCOLA MUNICIPAL PROFESSORA NELZA BORGES DO CARMO,2018,1,3,1,0,,29/01/2018,14/12/2018,1,0,0,0,1,1,0,0,0,0,0
52094693,52,5219308,CRECHE MUNICIPAL SR QUITITO,2018,1,3,1,0,,17/01/2018,21/12/2018,1,0,0,0,1,0,0,0,0,0,0
52094707,52,5208806,CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOSE SILVA OLIVEIRA,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,0,0,0,0,0,0
52094715,52,5214879,CRECHE MUNICIPAL PRIMEIROS PASSOS,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52094731,52,5201504,CMEI WEVERTON PEREIRA LEMES,2018,1,3,1,0,,29/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52094740,52,5201405,ESCOLA CONSTRUINDO SABER,2018,1,4,1,0,1,22/01/2018,20/12/2018,1,0,0,0,0,1,1,0,0,0,0
52094758,52,5217401,ESCOLA CAMINHO FELIZ,2018,1,4,1,0,1,22/01/2018,21/12/2018,1,0,0,0,1,1,1,1,0,0,0
52094782,52,5219753,EMEF FERNANDO SABINO,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,0,0,1,0,0,0,0
52094790,52,5219753,EMEF AGOSTINHO LOPES CONDE,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,0,0,1,0,0,0,0
52094812,52,5200258,ESCOLA GENTE PEQUENA,2018,1,4,1,0,1,01/02/2018,14/12/2018,1,0,0,0,1,1,1,0,0,0,0
52094820,52,5219753,CMEI MARIA DA SILVA RIBEIRO,2018,1,3,1,0,,22/01/2018,23/12/2018,1,0,0,0,1,1,0,0,0,0,0
52094839,52,5219753,CMEI TIA DIZA,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52094855,52,5219753,CMEI CRIANCA CIDADA,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,0,1,0,0,0,0,0
52094871,52,5200258,ESCOLA CIRANDA CIRANDINHA,2018,1,4,1,0,1,29/01/2018,12/12/2018,1,0,0,0,1,1,1,0,0,0,0
52089851,52,5205307,ESC MUL JUREMA,2018,2,3,2,,,,,,,,,,,,,,,
52003078,52,5208905,OFICINA EDC COMUN ELIDIA M SANTILLO,2018,2,3,1,,,,,,,,,,,,,,,
52050963,52,5217609,ESC MUL INDAIA,2018,3,3,2,,,,,,,,,,,,,,,
52095509,52,5201405,CENTRO MUN DE EDUCACAO INF AMELIA A DE OLIVEIRA,2018,1,3,1,0,,18/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52095517,52,5220454,CENTRO MUNICIPAL DE EDUCACAO INFANTIL TEOFILO TAVARES,2018,1,3,1,0,,19/01/2018,19/12/2018,1,0,0,0,1,0,0,0,0,0,0
52095525,52,5220454,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA DANIELA SILVA DE BRITO,2018,1,3,1,0,,19/01/2018,19/12/2018,1,0,0,0,1,0,0,0,0,0,0
52095533,52,5220454,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA LUCIENE CRISTINA MARQUES,2018,1,3,1,0,,19/01/2018,19/12/2018,1,0,0,0,1,0,0,0,0,0,0
52095541,52,5212501,ESC MUL CLAUDIA ROSA GOMES PEIXOTO,2018,1,3,1,0,,22/02/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52095550,52,5212501,COLEGIO CAMPOS DO SABER,2018,1,4,1,0,1,18/01/2018,21/12/2018,1,0,0,0,1,1,1,1,1,0,0
52095568,52,5212501,ESC MUN PROFESSORA GISLENE VALERIA DA COSTA,2018,1,3,1,0,,22/02/2018,21/12/2018,1,0,0,0,0,0,1,0,0,0,0
52095576,52,5212501,ESCOLA MUNICIPAL DILMA RORIZ MEDEIROS,2018,1,3,1,0,,19/02/2018,21/12/2018,1,0,0,1,0,0,1,0,0,0,0
52095592,52,5221858,COLEGIO SERVOS DA RAINHA,2018,1,4,1,0,4,01/02/2018,19/12/2018,1,0,0,0,0,0,1,1,1,0,0
52095606,52,5206206,CENTRO MUNICIPAL DE EDUCACAO INFANTIL DONA AMELIA,2018,1,3,1,0,,29/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52095630,52,5221858,ESCOLA RAINHA DA PAZ,2018,1,4,1,0,1,29/01/2018,15/12/2018,1,0,0,0,1,1,1,1,0,0,0
52095657,52,5215231,ESCOLA EVANGELICA PARAISO INFANTIL LTDA,2018,1,4,1,0,1,05/02/2018,20/12/2018,1,0,0,0,0,1,1,1,0,0,0
52095673,52,5215231,ESCOLA CANTINHO DA CRIANCA,2018,1,4,1,0,1,05/02/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52095690,52,5202353,CRECHE CRISTO REI,2018,1,3,1,0,,02/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52095436,52,5200308,ESCOLA GOIANA DE EDUCACAO BASICA,2018,2,4,1,,,,,,,,,,,,,,,
52028267,52,5200852,ESC MUL ANA DO CARMO MORAIS,2018,2,3,1,,,,,,,,,,,,,,,
52096386,52,5212303,CENTRO DE EDUCACAO MODERNA,2018,1,4,1,0,1,22/01/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52096394,52,5208707,CENTRO DE EDUCACAO INFANTIL ALDEIA DOS SONHOS,2018,1,4,1,0,4,22/01/2018,20/12/2018,1,0,0,0,1,1,0,0,0,0,0
52096408,52,5210208,IF GOIANO - CAMPUS IPORA,2018,1,1,2,0,,05/02/2018,14/12/2018,1,1,1,0,0,0,0,0,0,1,0
52096424,52,5208707,INSTITUTO E COLEGIO QUALITY,2018,1,4,1,0,1,15/01/2018,20/12/2018,0,0,1,0,0,0,0,0,0,0,0
52096467,52,5205109,CMEI E ESCOLA MUNICIPAL ALBA MATHIAS MESQUITA,2018,1,3,1,0,,15/01/2018,21/12/2018,1,0,0,0,1,1,1,0,0,0,0
52096475,52,5221700,INSTITUTO TECNOLOGICO DO ESTADO DE GOIAS CELSO MONTEIRO FURTADO,2018,1,2,1,0,,02/01/2017,31/12/2018,1,0,1,0,0,0,0,0,0,1,0
52096483,52,5212501,IFG - CAMPUS LUZIANIA,2018,1,1,1,0,,19/02/2018,15/12/2018,1,1,1,0,0,0,0,0,0,1,0
52096491,52,5201405,COLEGIO EVANGELICO PRINCIPIO DA SABEDORIA,2018,1,4,1,0,1,22/01/2018,20/12/2018,1,0,0,0,1,1,1,1,1,0,0
52096505,52,5201405,INSTITUTO SOCIAL CRESCER SEMEANDO,2018,1,4,1,0,4,15/01/2018,21/12/2018,1,0,0,0,1,1,1,0,0,0,0
52096521,52,5221403,ESCOLA BARQUINHO AZUL,2018,1,4,1,0,1,22/01/2018,19/12/2018,1,0,0,0,0,1,1,0,0,0,0
52096530,52,5215231,ESCOLA EVANGELICA ARTE DO SABER,2018,1,4,1,0,1,06/02/2018,12/12/2018,1,0,0,0,1,1,1,0,0,0,0
52096548,52,5201108,CENTRO DE ENSINO FUNDAMENTAL LAPIS NA MAO,2018,1,4,1,0,1,22/01/2018,18/12/2018,1,0,0,0,0,1,1,0,0,0,0
52096556,52,5201108,CENTRO EDUCACIONAL PORTINARI,2018,1,4,1,0,1,25/01/2018,19/12/2018,1,0,0,0,1,1,1,0,0,0,0
52096564,52,5210406,CENTRO EDUCACIONAL FERNANDA PARK,2018,1,3,1,0,,22/01/2018,20/12/2018,1,0,0,0,0,1,1,0,0,0,0
52257371,52,5215702,ESCOLA MUNICIPAL ITAMAR PERILLO,2018,1,3,1,3,,02/01/2018,31/12/2018,1,0,0,0,0,1,1,0,0,0,0
52257380,52,5205109,CENTRO MUNICIPAL DE EDUCACAO INFANTIL EVA FRANCISCA DE MESQUITA,2018,1,3,1,0,,15/01/2018,21/12/2018,1,0,0,0,1,0,0,0,0,0,0
52257398,52,5218805,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DE TEMPO INTEGRAL PROFESSOR WALDYR EMRICH PORTILHO,2018,1,3,1,0,,15/01/2018,18/12/2018,1,0,0,0,0,0,1,0,0,0,0
52257401,52,5218805,CENTRO MUNICIPAL DE EDUCACAO INFANTIL CILENIO MODESTO DE MORAES,2018,1,3,1,0,,15/01/2018,18/12/2018,1,0,0,0,1,0,0,0,0,0,0
52257410,52,5207808,ESCOLA MUNICIPAL PROFESSOR ANTONIO VIEIRA HUNGRIA,2018,1,3,1,0,,22/01/2018,18/12/2018,1,0,0,0,0,0,1,0,0,0,0
52258351,52,5208806,ESCOLA MUNICIPAL JOSE LUIZ BITTENCOURT,2018,1,3,1,0,,29/01/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52259374,52,5200258,ESCOLA UNIVERSIDADE INFANTIL,2018,1,4,1,0,1,29/01/2018,14/12/2018,1,0,0,0,0,1,1,1,0,0,0
52259382,52,5208707,COLEGIO FREI DAMIAO,2018,1,4,1,0,1,29/01/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52259390,52,5221858,ESCOLA MUNICIPAL CORA CORALINA,2018,1,3,1,0,,05/02/2018,21/12/2018,1,0,0,0,0,0,0,1,0,0,0
52259412,52,5220454,ESCOLA BEDINHA,2018,1,4,1,0,1,22/01/2018,21/12/2018,1,0,0,0,1,1,1,0,0,0,0
52259420,52,5220454,ESCOLA MUNICIPAL LUZIA MARIA DE SIQUEIRA,2018,1,3,1,0,,19/01/2018,19/12/2018,1,1,0,0,0,0,0,1,0,0,0
52260356,52,5201306,ESCOLA MUNICIPAL FRANCISCO XAVIER VIEIRA,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52260364,52,5200050,ESCOLA MUNICIPAL HILDEBRANDO CARDOSO LOURENCO,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,0,0,1,0,0,0,0
52073408,52,5207907,ESC MUL REGALITO,2018,2,3,2,,,,,,,,,,,,,,,
52069974,52,5201702,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO DE ARAGARCAS,2018,2,2,1,,,,,,,,,,,,,,,
52260372,52,5208707,COLEGIO FLAMBOYANT,2018,1,4,1,0,1,16/01/2018,21/12/2018,1,0,0,0,0,0,1,1,1,0,0
52084698,52,5218805,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL APLICACAO,2018,1,3,1,0,,15/01/2018,18/12/2018,1,0,0,0,0,1,0,0,0,0,0
52084728,52,5218805,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARIA DA GLORIA DE SOUZA MACHADO,2018,1,3,1,0,,15/01/2018,18/12/2018,1,0,0,0,0,1,0,0,0,0,0
52084744,52,5211909,CENTRO MUNICIPAL DE EDUCACAO INFANTIL FAVO DE MEL,2018,1,3,1,0,,01/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52084752,52,5211909,CENTRO MUNICIPAL DE EDUCACAO CRIANCA FELIZ,2018,1,3,1,0,,01/01/2018,31/12/2018,1,0,0,0,1,1,0,0,0,0,0
52084795,52,5220504,CRECHE MUNICIPAL MARIA EDUARDA,2018,1,3,1,0,,17/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52084825,52,5208608,ESCOLA MUNICIPAL MAGNOLIA PROTASIO MACHADO,2018,1,3,1,0,,16/01/2018,17/12/2018,1,0,0,0,0,1,1,0,0,0,0
52084833,52,5210802,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PREFEITO ANTONIO ALEXANDRE DE FREITAS,2018,1,3,1,0,,03/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52084841,52,5205471,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA ESERCI BALESTRIN KANIESKI,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52084850,52,5207600,ESCOLA MUL PEDACINHO DA GENTE,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,1,0,0,0,0
52084876,52,5209101,ESCOLA JOAOZINHO E MARIA,2018,1,4,1,0,1,29/01/2018,18/12/2018,1,0,0,0,1,1,1,0,0,0,0
52084884,52,5205406,ESCOLA MUNICIPAL PEQUENO PRINCIPE,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,0,0,1,0,0,0,0
52084906,52,5218003,CENTRO DE EDUCACAO INFANTIL ABELHINHA,2018,1,3,1,0,,23/01/2018,21/12/2018,1,0,0,0,1,0,0,0,0,0,0
52084914,52,5211206,COLEGIO MONTEIRO LOBATO,2018,1,4,1,0,1,15/01/2018,15/12/2018,1,0,0,0,1,1,1,1,1,0,0
52084922,52,5218003,CRECHE GENTE PEQUENA,2018,1,3,1,0,,23/01/2018,21/12/2018,1,0,0,0,1,0,0,0,0,0,0
52004066,52,5212204,ESCOLA MUNICIPAL PROFESSORA HELIA MARCHESI,2018,3,3,2,,,,,,,,,,,,,,,
52032930,52,5208707,COLEGIO GALAXIA,2018,3,4,1,,,,,,,,,,,,,,,
52051404,52,5219753,ESC MUL MULTI SANTO ANDRE,2018,2,3,2,,,,,,,,,,,,,,,
52096572,52,5216403,ESCOLA MUNICIPAL CATARINA SILVA BOLDARIM DE TEMPO INTEGRAL,2018,1,3,2,0,,26/01/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52096580,52,5214507,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SANDRA MARIA MAGALHAES MACEDO CRISPIM,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52096599,52,5218805,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ANTONIO VIEIRA DE MORAES,2018,1,3,1,0,,15/01/2018,18/12/2018,1,0,0,0,0,1,1,0,0,0,0
52096602,52,5201108,ESCOLA MUNICIPAL CECILIA MEIRELES,2018,1,3,1,0,,24/01/2018,21/12/2018,1,0,0,0,0,0,1,0,0,0,0
52096610,52,5208707,ESCOLA SEI LTDA,2018,1,4,1,0,1,18/01/2018,12/12/2018,1,0,0,0,1,1,1,0,0,0,0
52096629,52,5219100,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARIA APARECIDA FERREIRA DE OLIVEIRA,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52096637,52,5200258,CENTRO EDUCACIONAL SAO JOSE,2018,1,4,1,0,1,05/02/2018,21/12/2018,1,0,0,0,1,1,1,1,0,0,0
52096653,52,5215231,ASSOCIACAO EDUCACIONAL E FILOSOFICA LOGOS - ASEFIL,2018,1,4,1,0,1,30/07/2017,30/06/2018,0,0,1,0,0,0,0,0,0,0,0
52096661,52,5219001,ESCOLA MUNICIPAL DE TEMPO INTEGRAL ONESIMO DE JESUS VIEIRA,2018,1,3,2,0,,22/01/2018,21/12/2018,1,0,0,0,0,0,1,0,0,0,0
52096670,52,5212709,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARY GONCALVES TEIXEIRA,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52096688,52,5214606,ESCOLA SENAI NIQUELANDIA,2018,1,4,1,0,1,22/01/2018,21/12/2018,0,0,1,0,0,0,0,0,0,0,0
52096718,52,5206404,ESCOLA MUNICIPAL DE EDUCACAO EM TEMPO INTEGRAL URSULINO TAVARES LEAO,2018,1,3,1,0,,22/01/2018,14/12/2018,1,0,0,0,1,1,0,0,0,0,0
52096726,52,5208004,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARIA APARECIDA HAMU OPA,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52096734,52,5200605,CENTRO MUNICIPAL DE EDUCACAO INFANTIL CRIANCA FELIZ,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52097269,52,5205497,ESCOLA MUNICIPAL DOM AGOSTINHO STEFAN JANUSZEWICZ,2018,1,3,1,0,,05/02/2018,21/12/2018,1,0,0,0,0,0,1,0,0,0,0
52097277,52,5213103,CENTRO EDUCACIONAL INFANTIL CHICO XAVIER,2018,1,4,1,0,4,22/01/2018,14/12/2018,1,0,0,0,1,0,0,0,0,0,0
52097285,52,5201702,CMEI ESPEDITA PEREIRA LEAO,2018,1,3,1,0,,05/02/2018,19/12/2018,1,0,0,0,1,0,0,0,0,0,0
52097293,52,5200258,ESCOLA MUNICIPAL MARIA JOSE COSTA LIMA,2018,1,3,1,0,,24/01/2018,20/12/2018,1,0,0,0,0,1,1,0,0,0,0
52097307,52,5219258,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PASTOR ALONSO LIRA E SILVA,2018,1,3,1,0,,08/01/2018,21/12/2018,1,0,0,0,1,0,0,0,0,0,0
52097315,52,5220454,CENTRO MUNICIPAL DE EDUCACAO INFANTIL FONTE DE LUZ,2018,1,3,1,0,,19/01/2018,19/12/2018,1,0,0,0,1,1,0,0,0,0,0
52097323,52,5208004,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA DA SILVA,2018,1,3,1,0,,22/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52097331,52,5208707,ESCOLA INTEGRADA CENTRO DE INTERESSE,2018,1,4,1,0,1,22/01/2018,20/12/2018,1,0,0,0,1,1,1,0,0,0,0
52097340,52,5208707,ESCOLA CAMINHO PARA O FUTURO,2018,1,4,1,0,1,22/01/2018,21/12/2018,1,0,0,0,0,1,1,0,0,0,0
52097358,52,5204508,CENTRO MUNICIPAL DE EDUCACAO INFANTIL VO IDALINA,2018,1,3,1,0,,22/01/2018,14/12/2018,1,0,0,0,1,1,0,0,0,0,0
52097366,52,5207808,ESCOLA MUNICIPAL PROFESSORA MARIA DE FATIMA PEREIRA,2018,1,3,1,0,,22/01/2018,18/12/2018,1,0,0,0,0,0,1,0,0,0,0
